Year,Country_of_Birth,Adoption_Type,Age_Group,Gender,Number
2017,Serbia,Single-parent,Total,Male,0
2017,Serbia,Single-parent,Total,Female,0
2017,Serbia,Single-parent,0-17,Total,0
2017,Serbia,Single-parent,0-17,Male,0
2017,Serbia,Single-parent,0-17,Female,0
2017,Serbia,Single-parent,18+,Total,0
2017,Serbia,Single-parent,18+,Male,0
2017,Serbia,Single-parent,18+,Female,0
2017,Switzerland,Total,Total,Total,0
2017,Switzerland,Total,Total,Male,0
2017,Switzerland,Total,Total,Female,0
2017,Switzerland,Total,0-17,Total,0
2017,Switzerland,Total,0-17,Male,0
2017,Switzerland,Total,0-17,Female,0
2017,Switzerland,Total,18+,Total,0
2017,Switzerland,Total,18+,Male,0
2017,Switzerland,Total,18+,Female,0
2017,Switzerland,Two-parent,Total,Total,0
2017,Switzerland,Two-parent,Total,Male,0
2017,Switzerland,Two-parent,Total,Female,0
2017,Switzerland,Two-parent,0-17,Total,0
2017,Switzerland,Two-parent,0-17,Male,0
2017,Switzerland,Two-parent,0-17,Female,0
2017,Switzerland,Two-parent,18+,Total,0
2017,Switzerland,Two-parent,18+,Male,0
2017,Switzerland,Two-parent,18+,Female,0
2017,Switzerland,Single-parent,Total,Total,0
2017,Switzerland,Single-parent,Total,Male,0
2017,Switzerland,Single-parent,Total,Female,0
2017,Switzerland,Single-parent,0-17,Total,0
2017,Switzerland,Single-parent,0-17,Male,0
2017,Switzerland,Single-parent,0-17,Female,0
2017,Switzerland,Single-parent,18+,Total,0
2017,Switzerland,Single-parent,18+,Male,0
2017,Switzerland,Single-parent,18+,Female,0
2017,Turkey,Total,Total,Total,0
2017,Turkey,Total,Total,Male,0
2017,Turkey,Total,Total,Female,0
2017,Turkey,Total,0-17,Total,0
2017,Turkey,Total,0-17,Male,0
2017,Turkey,Total,0-17,Female,0
2017,Turkey,Total,18+,Total,0
2017,Turkey,Total,18+,Male,0
2017,Turkey,Total,18+,Female,0
2017,Turkey,Two-parent,Total,Total,0
2017,Turkey,Two-parent,Total,Male,0
2017,Turkey,Two-parent,Total,Female,0
2017,Turkey,Two-parent,0-17,Total,0
2017,Turkey,Two-parent,0-17,Male,0
2017,Turkey,Two-parent,0-17,Female,0
2017,Turkey,Two-parent,18+,Total,0
2017,Turkey,Two-parent,18+,Male,0
2017,Turkey,Two-parent,18+,Female,0
2017,Turkey,Single-parent,Total,Total,0
2017,Turkey,Single-parent,Total,Male,0
2017,Turkey,Single-parent,Total,Female,0
2017,Turkey,Single-parent,0-17,Total,0
2017,Turkey,Single-parent,0-17,Male,0
2017,Turkey,Single-parent,0-17,Female,0
2017,Turkey,Single-parent,18+,Total,0
2017,Turkey,Single-parent,18+,Male,0
2017,Turkey,Single-parent,18+,Female,0
2017,Ukraine,Total,Total,Total,0
2017,Ukraine,Total,Total,Male,0
2017,Ukraine,Total,Total,Female,0
2017,Ukraine,Total,0-17,Total,0
2017,Ukraine,Total,0-17,Male,0
2017,Ukraine,Total,0-17,Female,0
2017,Ukraine,Total,18+,Total,0
2017,Ukraine,Total,18+,Male,0
2017,Ukraine,Total,18+,Female,0
2017,Ukraine,Two-parent,Total,Total,0
2017,Ukraine,Two-parent,Total,Male,0
2017,Ukraine,Two-parent,Total,Female,0
2017,Ukraine,Two-parent,0-17,Total,0
2017,Ukraine,Two-parent,0-17,Male,0
2017,Ukraine,Two-parent,0-17,Female,0
2017,Ukraine,Two-parent,18+,Total,0
2017,Ukraine,Two-parent,18+,Male,0
2017,Ukraine,Two-parent,18+,Female,0
2017,Ukraine,Single-parent,Total,Total,0
2017,Ukraine,Single-parent,Total,Male,0
2017,Ukraine,Single-parent,Total,Female,0
2017,Ukraine,Single-parent,0-17,Total,0
2017,Ukraine,Single-parent,0-17,Male,0
2017,Ukraine,Single-parent,0-17,Female,0
2017,Ukraine,Single-parent,18+,Total,0
2017,Ukraine,Single-parent,18+,Male,0
2017,Ukraine,Single-parent,18+,Female,0
2017,Belarus,Total,Total,Total,0
2017,Belarus,Total,Total,Male,0
2017,Belarus,Total,Total,Female,0
2017,Belarus,Total,0-17,Total,0
2017,Belarus,Total,0-17,Male,0
2017,Belarus,Total,0-17,Female,0
2017,Belarus,Total,18+,Total,0
2017,Belarus,Total,18+,Male,0
2017,Belarus,Total,18+,Female,0
2017,Belarus,Two-parent,Total,Total,0
2017,Belarus,Two-parent,Total,Male,0
2017,Belarus,Two-parent,Total,Female,0
2017,Belarus,Two-parent,0-17,Total,0
2017,Belarus,Two-parent,0-17,Male,0
2017,Belarus,Two-parent,0-17,Female,0
2017,Belarus,Two-parent,18+,Total,0
2017,Belarus,Two-parent,18+,Male,0
2017,Belarus,Two-parent,18+,Female,0
2017,Belarus,Single-parent,Total,Total,0
2017,Belarus,Single-parent,Total,Male,0
2017,Belarus,Single-parent,Total,Female,0
2017,Belarus,Single-parent,0-17,Total,0
2017,Belarus,Single-parent,0-17,Male,0
2017,Belarus,Single-parent,0-17,Female,0
2017,Belarus,Single-parent,18+,Total,0
2017,Belarus,Single-parent,18+,Male,0
2017,Belarus,Single-parent,18+,Female,0
2017,Holy See (Vatican City State),Total,Total,Total,0
2017,Holy See (Vatican City State),Total,Total,Male,0
2017,Holy See (Vatican City State),Total,Total,Female,0
2017,Holy See (Vatican City State),Total,0-17,Total,0
2017,Holy See (Vatican City State),Total,0-17,Male,0
2017,Holy See (Vatican City State),Total,0-17,Female,0
2017,Holy See (Vatican City State),Total,18+,Total,0
2017,Holy See (Vatican City State),Total,18+,Male,0
2017,Holy See (Vatican City State),Total,18+,Female,0
2017,Holy See (Vatican City State),Two-parent,Total,Total,0
2017,Holy See (Vatican City State),Two-parent,Total,Male,0
2017,Holy See (Vatican City State),Two-parent,Total,Female,0
2017,Holy See (Vatican City State),Two-parent,0-17,Total,0
2017,Holy See (Vatican City State),Two-parent,0-17,Male,0
2017,Holy See (Vatican City State),Two-parent,0-17,Female,0
2017,Holy See (Vatican City State),Two-parent,18+,Total,0
2017,Holy See (Vatican City State),Two-parent,18+,Male,0
2017,Holy See (Vatican City State),Two-parent,18+,Female,0
2017,Holy See (Vatican City State),Single-parent,Total,Total,0
2017,Holy See (Vatican City State),Single-parent,Total,Male,0
2017,Holy See (Vatican City State),Single-parent,Total,Female,0
2017,Holy See (Vatican City State),Single-parent,0-17,Total,0
2017,Holy See (Vatican City State),Single-parent,0-17,Male,0
2017,Holy See (Vatican City State),Single-parent,0-17,Female,0
2017,Holy See (Vatican City State),Single-parent,18+,Total,0
2017,Holy See (Vatican City State),Single-parent,18+,Male,0
2017,Holy See (Vatican City State),Single-parent,18+,Female,0
2017,Russian Federation,Total,Total,Total,4
2017,Russian Federation,Total,Total,Male,1
2017,Russian Federation,Total,Total,Female,3
2017,Russian Federation,Total,0-17,Total,3
2017,Russian Federation,Total,0-17,Male,1
2017,Russian Federation,Total,0-17,Female,2
2017,Russian Federation,Total,18+,Total,1
2017,Russian Federation,Total,18+,Male,0
2017,Russian Federation,Total,18+,Female,1
2017,Russian Federation,Two-parent,Total,Total,0
2017,Russian Federation,Two-parent,Total,Male,0
2017,Russian Federation,Two-parent,Total,Female,0
2017,Russian Federation,Two-parent,0-17,Total,0
2017,Russian Federation,Two-parent,0-17,Male,0
2017,Russian Federation,Two-parent,0-17,Female,0
2017,Russian Federation,Two-parent,18+,Total,0
2017,Russian Federation,Two-parent,18+,Male,0
2017,Russian Federation,Two-parent,18+,Female,0
2017,Russian Federation,Single-parent,Total,Total,4
2017,Russian Federation,Single-parent,Total,Male,1
2017,Russian Federation,Single-parent,Total,Female,3
2017,Russian Federation,Single-parent,0-17,Total,3
2017,Russian Federation,Single-parent,0-17,Male,1
2017,Russian Federation,Single-parent,0-17,Female,2
2017,Russian Federation,Single-parent,18+,Total,1
2017,Russian Federation,Single-parent,18+,Male,0
2017,Russian Federation,Single-parent,18+,Female,1
2017,AFRICA,Total,Total,Total,30
2017,AFRICA,Total,Total,Male,21
2017,AFRICA,Total,Total,Female,9
2017,AFRICA,Total,0-17,Total,29
2017,AFRICA,Total,0-17,Male,20
2017,AFRICA,Total,0-17,Female,9
2017,AFRICA,Total,18+,Total,1
2017,AFRICA,Total,18+,Male,1
2017,AFRICA,Total,18+,Female,0
2017,AFRICA,Two-parent,Total,Total,21
2017,AFRICA,Two-parent,Total,Male,15
2017,AFRICA,Two-parent,Total,Female,6
2017,AFRICA,Two-parent,0-17,Total,20
2017,AFRICA,Two-parent,0-17,Male,14
2017,AFRICA,Two-parent,0-17,Female,6
2017,AFRICA,Two-parent,18+,Total,1
2017,AFRICA,Two-parent,18+,Male,1
2017,AFRICA,Two-parent,18+,Female,0
2017,AFRICA,Single-parent,Total,Total,9
2017,AFRICA,Single-parent,Total,Male,6
2017,AFRICA,Single-parent,Total,Female,3
2017,AFRICA,Single-parent,0-17,Total,9
2017,AFRICA,Single-parent,0-17,Male,6
2017,AFRICA,Single-parent,0-17,Female,3
2017,AFRICA,Single-parent,18+,Total,0
2017,AFRICA,Single-parent,18+,Male,0
2017,AFRICA,Single-parent,18+,Female,0
2017,Algeria,Total,Total,Total,0
2017,Algeria,Total,Total,Male,0
2017,Algeria,Total,Total,Female,0
2017,Algeria,Total,0-17,Total,0
2017,Algeria,Total,0-17,Male,0
2017,Algeria,Total,0-17,Female,0
2017,Algeria,Total,18+,Total,0
2017,Algeria,Total,18+,Male,0
2017,Algeria,Total,18+,Female,0
2017,Algeria,Two-parent,Total,Total,0
2017,Algeria,Two-parent,Total,Male,0
2017,Algeria,Two-parent,Total,Female,0
2017,Algeria,Two-parent,0-17,Total,0
2017,Algeria,Two-parent,0-17,Male,0
2017,Algeria,Two-parent,0-17,Female,0
2017,Algeria,Two-parent,18+,Total,0
2017,Algeria,Two-parent,18+,Male,0
2017,Algeria,Two-parent,18+,Female,0
2017,Algeria,Single-parent,Total,Total,0
2017,Algeria,Single-parent,Total,Male,0
2017,Algeria,Single-parent,Total,Female,0
2017,Algeria,Single-parent,0-17,Total,0
2017,Algeria,Single-parent,0-17,Male,0
2017,Algeria,Single-parent,0-17,Female,0
2017,Algeria,Single-parent,18+,Total,0
2017,Algeria,Single-parent,18+,Male,0
2017,Algeria,Single-parent,18+,Female,0
2017,Angola,Total,Total,Total,0
2017,Angola,Total,Total,Male,0
2017,Angola,Total,Total,Female,0
2017,Angola,Total,0-17,Total,0
2017,Angola,Total,0-17,Male,0
2017,Angola,Total,0-17,Female,0
2017,Angola,Total,18+,Total,0
2017,Angola,Total,18+,Male,0
2017,Angola,Total,18+,Female,0
2017,Angola,Two-parent,Total,Total,0
2017,Angola,Two-parent,Total,Male,0
2017,Angola,Two-parent,Total,Female,0
2017,Angola,Two-parent,0-17,Total,0
2017,Angola,Two-parent,0-17,Male,0
2017,Angola,Two-parent,0-17,Female,0
2017,Angola,Two-parent,18+,Total,0
2017,Angola,Two-parent,18+,Male,0
2017,Angola,Two-parent,18+,Female,0
2017,Angola,Single-parent,Total,Total,0
2017,Angola,Single-parent,Total,Male,0
2017,Angola,Single-parent,Total,Female,0
2017,Angola,Single-parent,0-17,Total,0
2017,Angola,Single-parent,0-17,Male,0
2017,Angola,Single-parent,0-17,Female,0
2017,Angola,Single-parent,18+,Total,0
2017,Angola,Single-parent,18+,Male,0
2017,Angola,Single-parent,18+,Female,0
2017,Benin,Total,Total,Total,0
2017,Benin,Total,Total,Male,0
2017,Benin,Total,Total,Female,0
2017,Benin,Total,0-17,Total,0
2017,Benin,Total,0-17,Male,0
2017,Benin,Total,0-17,Female,0
2017,Benin,Total,18+,Total,0
2017,Benin,Total,18+,Male,0
2017,Benin,Total,18+,Female,0
2017,Benin,Two-parent,Total,Total,0
2017,Benin,Two-parent,Total,Male,0
2017,Benin,Two-parent,Total,Female,0
2017,Benin,Two-parent,0-17,Total,0
2017,Benin,Two-parent,0-17,Male,0
2017,Benin,Two-parent,0-17,Female,0
2017,Benin,Two-parent,18+,Total,0
2017,Benin,Two-parent,18+,Male,0
2017,Benin,Two-parent,18+,Female,0
2017,Benin,Single-parent,Total,Total,0
2017,Benin,Single-parent,Total,Male,0
2017,Benin,Single-parent,Total,Female,0
2017,Benin,Single-parent,0-17,Total,0
2017,Benin,Single-parent,0-17,Male,0
2017,Benin,Single-parent,0-17,Female,0
2017,Benin,Single-parent,18+,Total,0
2017,Benin,Single-parent,18+,Male,0
2017,Benin,Single-parent,18+,Female,0
2017,Botswana,Total,Total,Total,0
2017,Botswana,Total,Total,Male,0
2017,Botswana,Total,Total,Female,0
2017,Botswana,Total,0-17,Total,0
2017,Botswana,Total,0-17,Male,0
2017,Botswana,Total,0-17,Female,0
2017,Botswana,Total,18+,Total,0
2017,Botswana,Total,18+,Male,0
2017,Botswana,Total,18+,Female,0
2017,Botswana,Two-parent,Total,Total,0
2017,Botswana,Two-parent,Total,Male,0
2017,Botswana,Two-parent,Total,Female,0
2017,Botswana,Two-parent,0-17,Total,0
2017,Botswana,Two-parent,0-17,Male,0
2017,Botswana,Two-parent,0-17,Female,0
2017,Botswana,Two-parent,18+,Total,0
2017,Botswana,Two-parent,18+,Male,0
2017,Botswana,Two-parent,18+,Female,0
2017,Botswana,Single-parent,Total,Total,0
2017,Botswana,Single-parent,Total,Male,0
2017,Botswana,Single-parent,Total,Female,0
2017,Botswana,Single-parent,0-17,Total,0
2017,Botswana,Single-parent,0-17,Male,0
2017,Botswana,Single-parent,0-17,Female,0
2017,Botswana,Single-parent,18+,Total,0
2017,Botswana,Single-parent,18+,Male,0
2017,Botswana,Single-parent,18+,Female,0
2017,Burkina Faso,Total,Total,Total,0
2017,Burkina Faso,Total,Total,Male,0
2017,Burkina Faso,Total,Total,Female,0
2017,Burkina Faso,Total,0-17,Total,0
2017,Burkina Faso,Total,0-17,Male,0
2017,Burkina Faso,Total,0-17,Female,0
2017,Burkina Faso,Total,18+,Total,0
2017,Burkina Faso,Total,18+,Male,0
2017,Burkina Faso,Total,18+,Female,0
2017,Burkina Faso,Two-parent,Total,Total,0
2017,Burkina Faso,Two-parent,Total,Male,0
2017,Burkina Faso,Two-parent,Total,Female,0
2017,Burkina Faso,Two-parent,0-17,Total,0
2017,Burkina Faso,Two-parent,0-17,Male,0
2017,Burkina Faso,Two-parent,0-17,Female,0
2017,Burkina Faso,Two-parent,18+,Total,0
2017,Burkina Faso,Two-parent,18+,Male,0
2017,Burkina Faso,Two-parent,18+,Female,0
2017,Burkina Faso,Single-parent,Total,Total,0
2017,Burkina Faso,Single-parent,Total,Male,0
2017,Burkina Faso,Single-parent,Total,Female,0
2017,Burkina Faso,Single-parent,0-17,Total,0
2017,Burkina Faso,Single-parent,0-17,Male,0
2017,Burkina Faso,Single-parent,0-17,Female,0
2017,Burkina Faso,Single-parent,18+,Total,0
2017,Burkina Faso,Single-parent,18+,Male,0
2017,Burkina Faso,Single-parent,18+,Female,0
2017,Burundi,Total,Total,Total,0
2017,Burundi,Total,Total,Male,0
2017,Burundi,Total,Total,Female,0
2017,Burundi,Total,0-17,Total,0
2017,Burundi,Total,0-17,Male,0
2017,Burundi,Total,0-17,Female,0
2017,Burundi,Total,18+,Total,0
2017,Burundi,Total,18+,Male,0
2017,Burundi,Total,18+,Female,0
2017,Burundi,Two-parent,Total,Total,0
2017,Burundi,Two-parent,Total,Male,0
2017,Burundi,Two-parent,Total,Female,0
2017,Burundi,Two-parent,0-17,Total,0
2017,Burundi,Two-parent,0-17,Male,0
2017,Burundi,Two-parent,0-17,Female,0
2017,Burundi,Two-parent,18+,Total,0
2017,Burundi,Two-parent,18+,Male,0
2017,Burundi,Two-parent,18+,Female,0
2017,Burundi,Single-parent,Total,Total,0
2017,Burundi,Single-parent,Total,Male,0
2017,Burundi,Single-parent,Total,Female,0
2017,Burundi,Single-parent,0-17,Total,0
2017,Burundi,Single-parent,0-17,Male,0
2017,Burundi,Single-parent,0-17,Female,0
2017,Burundi,Single-parent,18+,Total,0
2017,Burundi,Single-parent,18+,Male,0
2017,Burundi,Single-parent,18+,Female,0
2017,Djibouti,Total,Total,Total,0
2017,Djibouti,Total,Total,Male,0
2017,Djibouti,Total,Total,Female,0
2017,Djibouti,Total,0-17,Total,0
2017,Djibouti,Total,0-17,Male,0
2017,Djibouti,Total,0-17,Female,0
2017,Djibouti,Total,18+,Total,0
2017,Djibouti,Total,18+,Male,0
2017,Djibouti,Total,18+,Female,0
2017,Djibouti,Two-parent,Total,Total,0
2017,Djibouti,Two-parent,Total,Male,0
2017,Djibouti,Two-parent,Total,Female,0
2017,Djibouti,Two-parent,0-17,Total,0
2017,Djibouti,Two-parent,0-17,Male,0
2017,Djibouti,Two-parent,0-17,Female,0
2017,Djibouti,Two-parent,18+,Total,0
2017,Djibouti,Two-parent,18+,Male,0
2017,Djibouti,Two-parent,18+,Female,0
2017,Djibouti,Single-parent,Total,Total,0
2017,Djibouti,Single-parent,Total,Male,0
2017,Djibouti,Single-parent,Total,Female,0
2017,Djibouti,Single-parent,0-17,Total,0
2017,Djibouti,Single-parent,0-17,Male,0
2017,Djibouti,Single-parent,0-17,Female,0
2017,Djibouti,Single-parent,18+,Total,0
2017,Djibouti,Single-parent,18+,Male,0
2017,Djibouti,Single-parent,18+,Female,0
2017,Egypt,Total,Total,Total,0
2017,Egypt,Total,Total,Male,0
2017,Egypt,Total,Total,Female,0
2017,Egypt,Total,0-17,Total,0
2017,Egypt,Total,0-17,Male,0
2017,Egypt,Total,0-17,Female,0
2017,Egypt,Total,18+,Total,0
2017,Egypt,Total,18+,Male,0
2017,Egypt,Total,18+,Female,0
2017,Egypt,Two-parent,Total,Total,0
2017,Egypt,Two-parent,Total,Male,0
2017,Egypt,Two-parent,Total,Female,0
2017,Egypt,Two-parent,0-17,Total,0
2017,Egypt,Two-parent,0-17,Male,0
2017,Egypt,Two-parent,0-17,Female,0
2017,Egypt,Two-parent,18+,Total,0
2017,Egypt,Two-parent,18+,Male,0
2017,Egypt,Two-parent,18+,Female,0
2017,Egypt,Single-parent,Total,Total,0
2017,Egypt,Single-parent,Total,Male,0
2017,Egypt,Single-parent,Total,Female,0
2017,Egypt,Single-parent,0-17,Total,0
2017,Egypt,Single-parent,0-17,Male,0
2017,Egypt,Single-parent,0-17,Female,0
2017,Egypt,Single-parent,18+,Total,0
2017,Egypt,Single-parent,18+,Male,0
2017,Egypt,Single-parent,18+,Female,0
2017,Eritrea,Total,Total,Total,0
2017,Eritrea,Total,Total,Male,0
2017,Eritrea,Total,Total,Female,0
2017,Eritrea,Total,0-17,Total,0
2017,Eritrea,Total,0-17,Male,0
2017,Eritrea,Total,0-17,Female,0
2017,Eritrea,Total,18+,Total,0
2017,Eritrea,Total,18+,Male,0
2017,Eritrea,Total,18+,Female,0
2017,Eritrea,Two-parent,Total,Total,0
2017,Eritrea,Two-parent,Total,Male,0
2017,Eritrea,Two-parent,Total,Female,0
2017,Eritrea,Two-parent,0-17,Total,0
2017,Eritrea,Two-parent,0-17,Male,0
2017,Eritrea,Two-parent,0-17,Female,0
2017,Eritrea,Two-parent,18+,Total,0
2017,Eritrea,Two-parent,18+,Male,0
2017,Eritrea,Two-parent,18+,Female,0
2017,Eritrea,Single-parent,Total,Total,0
2017,Eritrea,Single-parent,Total,Male,0
2017,Eritrea,Single-parent,Total,Female,0
2017,Eritrea,Single-parent,0-17,Total,0
2017,Eritrea,Single-parent,0-17,Male,0
2017,Eritrea,Single-parent,0-17,Female,0
2017,Eritrea,Single-parent,18+,Total,0
2017,Eritrea,Single-parent,18+,Male,0
2017,Eritrea,Single-parent,18+,Female,0
2017,South Africa,Total,Total,Total,21
2017,South Africa,Total,Total,Male,14
2017,South Africa,Total,Total,Female,7
2017,South Africa,Total,0-17,Total,21
2017,South Africa,Total,0-17,Male,14
2017,South Africa,Total,0-17,Female,7
2017,South Africa,Total,18+,Total,0
2017,South Africa,Total,18+,Male,0
2017,South Africa,Total,18+,Female,0
2017,South Africa,Two-parent,Total,Total,19
2017,South Africa,Two-parent,Total,Male,13
2017,South Africa,Two-parent,Total,Female,6
2017,South Africa,Two-parent,0-17,Total,19
2017,South Africa,Two-parent,0-17,Male,13
2017,South Africa,Two-parent,0-17,Female,6
2017,South Africa,Two-parent,18+,Total,0
2017,South Africa,Two-parent,18+,Male,0
2017,South Africa,Two-parent,18+,Female,0
2017,South Africa,Single-parent,Total,Total,2
2017,South Africa,Single-parent,Total,Male,1
2017,South Africa,Single-parent,Total,Female,1
2017,South Africa,Single-parent,0-17,Total,2
2017,South Africa,Single-parent,0-17,Male,1
2017,South Africa,Single-parent,0-17,Female,1
2017,South Africa,Single-parent,18+,Total,0
2017,South Africa,Single-parent,18+,Male,0
2017,South Africa,Single-parent,18+,Female,0
2017,South Sudan,Total,Total,Total,0
2017,South Sudan,Total,Total,Male,0
2017,South Sudan,Total,Total,Female,0
2017,South Sudan,Total,0-17,Total,0
2017,South Sudan,Total,0-17,Male,0
2017,South Sudan,Total,0-17,Female,0
2017,South Sudan,Total,18+,Total,0
2017,South Sudan,Total,18+,Male,0
2017,South Sudan,Total,18+,Female,0
2017,South Sudan,Two-parent,Total,Total,0
2017,South Sudan,Two-parent,Total,Male,0
2017,South Sudan,Two-parent,Total,Female,0
2017,South Sudan,Two-parent,0-17,Total,0
2017,South Sudan,Two-parent,0-17,Male,0
2017,South Sudan,Two-parent,0-17,Female,0
2017,South Sudan,Two-parent,18+,Total,0
2017,South Sudan,Two-parent,18+,Male,0
2017,South Sudan,Two-parent,18+,Female,0
2017,South Sudan,Single-parent,Total,Total,0
2017,South Sudan,Single-parent,Total,Male,0
2017,South Sudan,Single-parent,Total,Female,0
2017,South Sudan,Single-parent,0-17,Total,0
2017,South Sudan,Single-parent,0-17,Male,0
2017,South Sudan,Single-parent,0-17,Female,0
2017,South Sudan,Single-parent,18+,Total,0
2017,South Sudan,Single-parent,18+,Male,0
2017,South Sudan,Single-parent,18+,Female,0
2017,Ethiopia,Total,Total,Total,1
2017,Ethiopia,Total,Total,Male,1
2017,Ethiopia,Total,Total,Female,0
2017,Ethiopia,Total,0-17,Total,1
2017,Ethiopia,Total,0-17,Male,1
2017,Ethiopia,Total,0-17,Female,0
2017,Ethiopia,Total,18+,Total,0
2017,Ethiopia,Total,18+,Male,0
2017,Ethiopia,Total,18+,Female,0
2017,Ethiopia,Two-parent,Total,Total,0
2017,Ethiopia,Two-parent,Total,Male,0
2017,Ethiopia,Two-parent,Total,Female,0
2017,Ethiopia,Two-parent,0-17,Total,0
2017,Ethiopia,Two-parent,0-17,Male,0
2017,Ethiopia,Two-parent,0-17,Female,0
2017,Ethiopia,Two-parent,18+,Total,0
2017,Ethiopia,Two-parent,18+,Male,0
2017,Ethiopia,Two-parent,18+,Female,0
2017,Ethiopia,Single-parent,Total,Total,1
2017,Ethiopia,Single-parent,Total,Male,1
2017,Ethiopia,Single-parent,Total,Female,0
2017,Ethiopia,Single-parent,0-17,Total,1
2017,Ethiopia,Single-parent,0-17,Male,1
2017,Ethiopia,Single-parent,0-17,Female,0
2017,Ethiopia,Single-parent,18+,Total,0
2017,Ethiopia,Single-parent,18+,Male,0
2017,Ethiopia,Single-parent,18+,Female,0
2017,Gabon,Total,Total,Total,0
2017,Gabon,Total,Total,Male,0
2017,Gabon,Total,Total,Female,0
2017,Gabon,Total,0-17,Total,0
2017,Gabon,Total,0-17,Male,0
2017,Gabon,Total,0-17,Female,0
2017,Gabon,Total,18+,Total,0
2017,Gabon,Total,18+,Male,0
2017,Gabon,Total,18+,Female,0
2017,Gabon,Two-parent,Total,Total,0
2017,Gabon,Two-parent,Total,Male,0
2017,Gabon,Two-parent,Total,Female,0
2017,Gabon,Two-parent,0-17,Total,0
2017,Gabon,Two-parent,0-17,Male,0
2017,Gabon,Two-parent,0-17,Female,0
2017,Gabon,Two-parent,18+,Total,0
2017,Gabon,Two-parent,18+,Male,0
2017,Gabon,Two-parent,18+,Female,0
2017,Gabon,Single-parent,Total,Total,0
2017,Gabon,Single-parent,Total,Male,0
2017,Gabon,Single-parent,Total,Female,0
2017,Gabon,Single-parent,0-17,Total,0
2017,Gabon,Single-parent,0-17,Male,0
2017,Gabon,Single-parent,0-17,Female,0
2017,Gabon,Single-parent,18+,Total,0
2017,Gabon,Single-parent,18+,Male,0
2017,Gabon,Single-parent,18+,Female,0
2017,Gambia,Total,Total,Total,0
2017,Gambia,Total,Total,Male,0
2017,Gambia,Total,Total,Female,0
2017,Gambia,Total,0-17,Total,0
2017,Gambia,Total,0-17,Male,0
2017,Gambia,Total,0-17,Female,0
2017,Gambia,Total,18+,Total,0
2017,Gambia,Total,18+,Male,0
2017,Gambia,Total,18+,Female,0
2017,Gambia,Two-parent,Total,Total,0
2017,Gambia,Two-parent,Total,Male,0
2017,Gambia,Two-parent,Total,Female,0
2017,Gambia,Two-parent,0-17,Total,0
2017,Gambia,Two-parent,0-17,Male,0
2017,Gambia,Two-parent,0-17,Female,0
2017,Gambia,Two-parent,18+,Total,0
2017,Gambia,Two-parent,18+,Male,0
2017,Gambia,Two-parent,18+,Female,0
2017,Gambia,Single-parent,Total,Total,0
2017,Gambia,Single-parent,Total,Male,0
2017,Gambia,Single-parent,Total,Female,0
2017,Gambia,Single-parent,0-17,Total,0
2017,Gambia,Single-parent,0-17,Male,0
2017,Gambia,Single-parent,0-17,Female,0
2017,Gambia,Single-parent,18+,Total,0
2017,Gambia,Single-parent,18+,Male,0
2017,Gambia,Single-parent,18+,Female,0
2017,Ghana,Total,Total,Total,0
2017,Ghana,Total,Total,Male,0
2017,Ghana,Total,Total,Female,0
2017,Ghana,Total,0-17,Total,0
2017,Ghana,Total,0-17,Male,0
2017,Ghana,Total,0-17,Female,0
2017,Ghana,Total,18+,Total,0
2017,Ghana,Total,18+,Male,0
2017,Ghana,Total,18+,Female,0
2017,Ghana,Two-parent,Total,Total,0
2017,Ghana,Two-parent,Total,Male,0
2017,Ghana,Two-parent,Total,Female,0
2017,Ghana,Two-parent,0-17,Total,0
2017,Ghana,Two-parent,0-17,Male,0
2017,Ghana,Two-parent,0-17,Female,0
2017,Ghana,Two-parent,18+,Total,0
2017,Ghana,Two-parent,18+,Male,0
2017,Ghana,Two-parent,18+,Female,0
2017,Ghana,Single-parent,Total,Total,0
2017,Ghana,Single-parent,Total,Male,0
2017,Ghana,Single-parent,Total,Female,0
2017,Ghana,Single-parent,0-17,Total,0
2017,Ghana,Single-parent,0-17,Male,0
2017,Ghana,Single-parent,0-17,Female,0
2017,Ghana,Single-parent,18+,Total,0
2017,Ghana,Single-parent,18+,Male,0
2017,Ghana,Single-parent,18+,Female,0
2017,Guinea,Total,Total,Total,0
2017,Guinea,Total,Total,Male,0
2017,Guinea,Total,Total,Female,0
2017,Guinea,Total,0-17,Total,0
2017,Guinea,Total,0-17,Male,0
2017,Guinea,Total,0-17,Female,0
2017,Guinea,Total,18+,Total,0
2017,Guinea,Total,18+,Male,0
2017,Guinea,Total,18+,Female,0
2017,Guinea,Two-parent,Total,Total,0
2017,Guinea,Two-parent,Total,Male,0
2017,Guinea,Two-parent,Total,Female,0
2017,Guinea,Two-parent,0-17,Total,0
2017,Guinea,Two-parent,0-17,Male,0
2017,Guinea,Two-parent,0-17,Female,0
2017,Guinea,Two-parent,18+,Total,0
2017,Guinea,Two-parent,18+,Male,0
2017,Guinea,Two-parent,18+,Female,0
2017,Guinea,Single-parent,Total,Total,0
2017,Guinea,Single-parent,Total,Male,0
2017,Guinea,Single-parent,Total,Female,0
2017,Guinea,Single-parent,0-17,Total,0
2017,Guinea,Single-parent,0-17,Male,0
2017,Guinea,Single-parent,0-17,Female,0
2017,Guinea,Single-parent,18+,Total,0
2017,Guinea,Single-parent,18+,Male,0
2017,Guinea,Single-parent,18+,Female,0
2017,Guinea-Bissau,Total,Total,Total,0
2017,Guinea-Bissau,Total,Total,Male,0
